SiteID,Agency_ID,SourceName,Contact_person,Contact_email,Contact_telephone,Latitude,Longitude,Waterbody_name,Region
uw_nerka sam creek,NA,uwASP,NA,NA,NA,59.58922,-158.89537,Sam,Bristol Bay
uw_nerka seventh creek,NA,uwASP,NA,NA,NA,59.579615,-158.914344,7th,Bristol Bay
uw_aleknagik silver salmon creek,NA,uwASP,NA,NA,NA,59.22548,-158.673937,Silver Salmon,Bristol Bay
uw_nerka sixth creek,NA,uwASP,NA,NA,NA,59.576886,-158.923206,6th,Bristol Bay
uw_nerka stovall creek,NA,uwASP,NA,NA,NA,59.458751,-158.635026,Stovall,Bristol Bay
uw_aleknagik big whitefish creek,NA,uwASP,NA,NA,NA,59.265797,-158.681275,Whitefish,Bristol Bay
uw_aleknagik yako creek,NA,uwASP,NA,NA,NA,59.274879,-158.708334,Yako,Bristol Bay
uw_nerka berm creek,NA,uwASP,NA,NA,NA,59.598938,-158.81484,NA,Bristol Bay
uw_nerka cabin creek,NA,uwASP,NA,NA,NA,59.595289,-158.847155,NA,Bristol Bay
uw_nerka cottonwood creek,NA,uwASP,NA,NA,NA,59.625638,-159.079365,Cottonwood Creek,Bristol Bay
uw_kulik k-3 creek,NA,uwASP,NA,NA,NA,59.79739,-158.946055,K3,Bristol Bay
uw_nerka lynx creek,NA,uwASP,NA,NA,NA,59.485329,-158.920334,Lynx,Bristol Bay
uw_nerka pick creek,NA,uwASP,NA,NA,NA,59.550053,-159.064001,Pick,Bristol Bay
uw_nerka pike creek,NA,uwASP,NA,NA,NA,59.443075,-158.587823,Pike,Bristol Bay
uw_nerka rainbow creek,NA,uwASP,NA,NA,NA,59.664336,-159.156064,Rainbow Creek,Bristol Bay
uw_nerka teal creek,NA,uwASP,NA,NA,NA,59.480963,-158.729867,NA,Bristol Bay
uw_nerka elva creek,NA,uwASP,NA,NA,NA,59.581381,-159.055091,Elva,Bristol Bay
uw_beverley hope creek,NA,uwASP,NA,NA,NA,59.646153,-158.600091,Hope,Bristol Bay
uw_beverley moose creek,NA,uwASP,NA,NA,NA,59.63907,-158.584173,Moose,Bristol Bay
uw_beverley silverhorn creek,NA,uwASP,NA,NA,NA,59.667847,-158.946429,Silverhorn,Bristol Bay
uw_beverley uno creek,NA,uwASP,NA,NA,NA,59.6909,-158.75479,Uno,Bristol Bay
uw_kulik kulik creek,NA,uwASP,NA,NA,NA,59.779325,-159.001315,Kulik Creek,Bristol Bay
uw_little togiak creek,NA,uwASP,NA,NA,NA,59.620165,-159.217037,Little Togiak Creek,Bristol Bay
uw_nerka n4 creek,NA,uwASP,NA,NA,NA,59.474494,-158.944723,N4 Creek,Bristol Bay
uw_aleknagik squaw creek,NA,uwASP,NA,NA,NA,59.04937,-158.568496,Squaw,Bristol Bay
uw_aleknagik youth creek,NA,uwASP,NA,NA,NA,59.43361,-159.012787,Youth,Bristol Bay
